Emoji,Usual Meaning,Contextual Meaning,Occurrence as Casual Mention,Occurrence as Serious Intent
😒,Unamused Face,"Indicates displeasure or dissatisfaction, potentially related to emotional distress.",Medium,Medium
😓,Downcast Face with Sweat,Shows feelings of stress or anxiety.,Medium,Medium
😔,Pensive Face,"Conveys a sense of melancholy, often associated with feelings of depression.",Medium,High
😕,Confused Face,"Shows confusion or discomfort, which could be related to emotional turmoil.",Medium,Medium
😖,Confounded Face,Shows feelings of frustration and emotional turmoil.,Medium,Medium
😚,Kissing Face with Closed Eyes,"Used to express affection or comfort, which could be a response to distress.",High,Low
😞,Disappointed Face,Reflects feelings of disappointment and hopelessness.,Medium,High
😟,Worried Face,"Represents worry and anxiety, often associated with mental health struggles.",Medium,High
😡,Pouting Face,"Indicates anger or deep frustration, which can be related to self-harm thoughts.",Medium,Medium
😢,Crying Face,Reflects deep emotional pain and sadness.,Medium,High
😣,Persevering Face,Reflects ongoing struggle and emotional pain.,Medium,High
😥,Sad but Relieved Face,"Reflects a mix of sadness and relief, possibly related to emotional struggle.",Medium,High
😩,Weary Face,Represents feeling overwhelmed by stress or negative emotions.,Medium,High
😪,Sleepy Face,"Emotional or physical exhaustion, possibly due to mental health struggles.",Medium,Medium
😬,Grimacing Face,Indicates internal struggle or distress.,Medium,Medium
😭,Loudly Crying Face,"Shows extreme sadness or emotional pain, often associated with crying out for help.",Medium,High
😯,Hushed Face,"Represents surprise or shock, potentially related to distressing situations.",Medium,Medium
😳,Flushed Face,"Reflects embarrassment or shock, which might be associated with emotional distress.",Medium,Medium
😶,Face Without Mouth,"Indicates silence or hiding emotions, potentially linked to emotional pain.",Medium,High
😷,Face with Medical Mask,"Hiding emotional pain behind a facade of being ""fine.""",Medium,High
😿,Crying Cat Face,"Represents sadness or distress, often related to feelings of helplessness.",Medium,High
🙁,Slightly Frowning Face,"Conveys mild sadness or disappointment, which might reflect underlying distress.",Medium,Medium
🙂,Slightly Smiling Face,"Represents a mild, perhaps superficial, sense of contentment.",High,Low
🙃,Upside-Down Face,Represents hiding true emotions behind a facade of indifference or humor.,High,Medium
🙄,Face with Rolling Eyes,"Reflects irritation or disdain, which might be linked to emotional distress.",Medium,Medium
🙋,Person Raising Hand,"May indicate a need for attention or help, potentially related to emotional distress.",Medium,Medium
🙏,Folded Hands,"Represents hope or a plea for help, often related to emotional distress.",Medium,High
🚫,No Entry Sign,Represents feelings of being unwelcome or isolated.,Medium,Medium
🆘,SOS Button,A desperate call for assistance or support.,Low,High
🌊,Water Wave,Often used metaphorically for emotional ups and downs.,Medium,Medium
